"filename", "language", "C++", "Markdown", "Ini", "Python", "Properties", "OC Lua", "Log", "JSON", "comment", "blank", "total"
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\.VSCodeCounter\2025-12-31_10-40-33\details.md", "Markdown", 0, 116, 0, 0, 0, 0, 0, 0, 0, 6, 122
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\.VSCodeCounter\2025-12-31_10-40-33\diff-details.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 15
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\.VSCodeCounter\2025-12-31_10-40-33\diff.md", "Markdown", 0, 12, 0, 0, 0, 0, 0, 0, 0, 7, 19
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\.VSCodeCounter\2025-12-31_10-40-33\results.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\.VSCodeCounter\2025-12-31_10-40-33\results.md", "Markdown", 0, 34, 0, 0, 0, 0, 0, 0, 0, 7, 41
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\build.log", "Log", 0, 0, 0, 0, 0, 0, 1031, 0, 0, 0, 1031
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\ccache.py", "Python", 0, 0, 0, 7, 0, 0, 0, 0, 3, 4, 14
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\data\cfg\user_prefs.lua", "OC Lua", 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\data\init.lua", "OC Lua", 0, 0, 0, 0, 0, 28, 0, 0, 1, 9, 38
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\data\motd\rc_local.lua", "OC Lua", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\extra_script.py", "Python", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\lib\ESP32C3-BLE-Keyboard\BleKeyboard.cpp", "C++", 460, 0, 0, 0, 0, 0, 0, 0, 22, 64, 546
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\lib\ESP32C3-BLE-Keyboard\BleKeyboard.h", "C++", 159, 0, 0, 0, 0, 0, 0, 0, 2, 23, 184
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\lib\ESP32C3-BLE-Keyboard\README.md", "Markdown", 0, 186, 0, 0, 0, 0, 0, 0, 0, 30, 216
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\lib\ESP32C3-BLE-Keyboard\examples\SendKeyStrokes\SendKeyStrokes.ino", "C++", 22, 0, 0, 0, 0, 0, 0, 0, 14, 11, 47
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\lib\ESP32C3-BLE-Keyboard\examples\SendMediaKey\SendMediaKey.ino", "C++", 69, 0, 0, 0, 0, 0, 0, 0, 24, 6, 99
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\lib\ESP32C3-BLE-Keyboard\library.properties", "Properties", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\platformio.ini", "Ini", 0, 0, 53, 0, 0, 0, 0, 0, 9, 3, 65
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\UI\battery_dead.h", "C++", 35, 0, 0, 0, 0, 0, 0, 0, 0, 12, 47
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\UI\crash_handler.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 18, 66
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\UI\floater.h", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\UI\lockscreen.h", "C++", 116, 0, 0, 0, 0, 0, 0, 0, 0, 21, 137
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\UI\recovery.h", "C++", 78, 0, 0, 0, 0, 0, 0, 0, 0, 21, 99
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\UI\smoothprogress.h", "C++", 25, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\BLEApp\BLEScanner.cpp", "C++", 71, 0, 0, 0, 0, 0, 0, 0, 0, 21, 92
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\BLEApp\BLEScanner.h", "C++", 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Benchmark\BenchMyESP.cpp", "C++", 55, 0, 0, 0, 0, 0, 0, 0, 3, 18, 76
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Benchmark\BenchMyESP.h", "C++", 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Benchmark\C3Burner.cpp", "C++", 57, 0, 0, 0, 0, 0, 0, 0, 11, 18, 86
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Benchmark\C3Burner.h", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Essential\Browser.cpp", "C++", 197, 0, 0, 0, 0, 0, 0, 0, 14, 35, 246
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Essential\Browser.h", "C++", 13, 0, 0, 0, 0, 0, 0, 0, 1, 5, 19
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Essential\FileManager.cpp", "C++", 171, 0, 0, 0, 0, 0, 0, 0, 0, 37, 208
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Essential\FileManager.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Essential\FlappyBird.cpp", "C++", 80, 0, 0, 0, 0, 0, 0, 0, 0, 25, 105
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Essential\FlappyBird.h", "C++", 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Essential\HeapMonitor.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 0, 14, 67
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Essential\HeapMonitor.h", "C++", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Essential\IRBlaster.cpp", "C++", 25, 0, 0, 0, 0, 0, 0, 0, 0, 8, 33
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Essential\IRBlaster.h", "C++", 16, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Essential\OnlineStory.cpp", "C++", 146, 0, 0, 0, 0, 0, 0, 0, 2, 31, 179
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Essential\OnlineStory.h", "C++", 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Essential\Pong.cpp", "C++", 139, 0, 0, 0, 0, 0, 0, 0, 0, 29, 168
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Essential\Pong.h", "C++", 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Essential\Ruler.cpp", "C++", 67, 0, 0, 0, 0, 0, 0, 0, 6, 25, 98
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Essential\Ruler.h", "C++", 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Essential\Settings.cpp", "C++", 179, 0, 0, 0, 0, 0, 0, 0, 0, 29, 208
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Essential\Settings.h", "C++", 47, 0, 0, 0, 0, 0, 0, 0, 0, 12, 59
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Essential\Stopwatch.cpp", "C++", 72, 0, 0, 0, 0, 0, 0, 0, 2, 24, 98
"c:\Users\muted\Documents\PlatformIO\Projects\C3OS\src\app\Essential\Stopwatch.h", "C++", 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
