Date : 2026-01-06 23:22:16
Directory : c:\Users\muted\Documents\PlatformIO\Projects\C3OS
Total : 146 files,  9864 codes, 262 comments, 2158 blanks, all 12284 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| C++        |        131 |      8,361 |        249 |      2,081 |     10,691 |
| Log        |          1 |      1,031 |          0 |          0 |      1,031 |
| Markdown   |          6 |        359 |          0 |         57 |        416 |
| Ini        |          1 |         53 |          9 |          3 |         65 |
| OC Lua     |          3 |         37 |          1 |         12 |         50 |
| Python     |          2 |         13 |          3 |          4 |         20 |
| Properties |          1 |          9 |          0 |          1 |         10 |
| JSON       |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |        146 |      9,864 |        262 |      2,158 |     12,284 |
| . (Files)                                                                                                             |          5 |      1,099 |         12 |          8 |      1,119 |
| .VSCodeCounter                                                                                                        |          5 |        172 |          0 |         26 |        198 |
| .VSCodeCounter\2025-12-31_10-40-33                                                                                    |          5 |        172 |          0 |         26 |        198 |
| data                                                                                                                  |          3 |         37 |          1 |         12 |         50 |
| data (Files)                                                                                                          |          1 |         28 |          1 |          9 |         38 |
| data\cfg                                                                                                              |          1 |          9 |          0 |          2 |         11 |
| data\motd                                                                                                             |          1 |          0 |          0 |          1 |          1 |
| lib                                                                                                                   |          6 |        905 |         62 |        135 |      1,102 |
| lib\ESP32C3-BLE-Keyboard                                                                                              |          6 |        905 |         62 |        135 |      1,102 |
| lib\ESP32C3-BLE-Keyboard (Files)                                                                                      |          4 |        814 |         24 |        118 |        956 |
| lib\ESP32C3-BLE-Keyboard\examples                                                                                     |          2 |         91 |         38 |         17 |        146 |
